※ファイルを保存するとEC2 DCS順番見える化のファイルへ運転or休止の指示が送信されます,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
,,,,,,,,,,,,,,,
最終更新日時：2026/06/03 17:58:22,,,,最終出力日時：2026/06/03 23:04:34,,,,最終出力日時：2026/03/31 10:46:17,,,,,,
,,,,,,,,,,,,,,,
,エリア1,,※リスト選択↓※フリー入力↓,,,,,,,,,,,
,稼働台数,設備号機,指示,配合指示,予定加工時間,設備状態,能力枠,タイプ,設定稼働率,現状差異,加工ロットNo.,サイクル終了予定時刻,加工時間,day加工可能数量(K個),day生産数量(K個)推定稼働率
,6,E57,運転,RU4A6,178,停止,RU4A6,32,0.95062544186582,0.9509632544168582,265DLLT000,2026/06/03 17:25:40,178,289.829015544041,275.616538000854
配合指示パタクト加重平均（分）,6,E58,運転,RJ2A7,210,停止,RJ2A7,21,0.903703703703704,0.981414670166225,265DKPH000,2026/06/03 19:35:26,210,1138.23668148148,1117.08217732725
140.957474160539,6,E59,運転,HJ9JP,110,停止,HJ9JP,32,0.896,0.98985279526157,265CFKN000,2026/06/03 17:25:46,110,331.376,328.015
実配台タクト加重平均（分）,6,E60,運転,RJ2A5,210,停止,RJ2A5,21,0.903703703703704,0.981414670166225,265CTPVC000,2026/06/03 21:13:50,210,951.933333333333,934.241338355368
140.957474160539,6,E61,運転,RJ7Z6,120,停止,RJ7Z6,31,0.903703703703704,0.981414670166225,265CUAG000,2026/06/03 18:47:30,120,586.88,575.972641627154
配合 G/NG,6,E62,停止,HJ9A1,100,停止,RZ7A0,32,0.88695652173913,0.999945375630511,265DEEWH000,2026/06/03 16:31:54,100,397.260347826087,397.238647730064
,G,,,,,,,,,,,,,,
,指定稼働率,,,,,,,,,,,,,,
,0.886908072298366,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,エリア2,,※リスト選択↓※フリー入力↓,,,,,,,,,,,
,稼働台数,設備号機,指示,配合指示,予定加工時間,設備状態,能力枠,タイプ,設定稼働率,現状差異,加工ロットNo.,サイクル終了予定時刻,加工時間,day加工可能数量(K個),day生産数量(K個)推定稼働率
,6,E63,運転,HJ9A1,100,停止,HJ9A1,32,0.88695652173913,0.997059674856998,265BUWP000,2026/06/03 17:24:55,100,397.260347826087,396.092273230756
配合指示パタクト加重平均（分）,6,E64,運転,RJ2A7,140,停止,RZ2A2,21,0.903703703703704,0.978582446384951,265DLVTC000,2026/06/03 17:11:40,150,1114.14,1090.27828174086
136.95652173913,6,E40,運転,RJ2A7,210,停止,RJ2A7,21,0.903703703703704,0.978582446384951,265DDUJC000,2026/06/03 20:03:18,210,1138.23668148148,1113.85843632924
実配台タクト加重平均（分）,6,E66,運転,HJ9A2,140,停止,HJ9A2,32,0.88695652173913,0.997059674856998,265DAEM000,2026/06/03 18:26:04,140,432.231652173913,430.96075079425
138.461538461538,6,E67,運転,RJ2A5,210,停止,RJ2A5,21,0.903703703703704,0.978582446384951,265CTRBC000,2026/06/03 18:44:02,210,951.933333333333,931.545250128714
配合 G/NG,6,E68,運転,RJ1A7,100,停止,RJ1A7,18,0.88695652173913,0.997059674856998,265CTPJ000,2026/06/03 18:38:26,100,4983.37669565217,4968.7239478569
,G,,,,,,,,,,,,,,
,指定稼働率,,,,,,,,,,,,,,
,0.884340581177511,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,エリア3,,※リスト選択↓※フリー入力↓,,,,,,,,,,,
,稼働台数,設備号機,指示,配合指示,予定加工時間,設備状態,能力枠,タイプ,設定稼働率,現状差異,加工ロットNo.,サイクル終了予定時刻,加工時間,day加工可能数量(K個),day生産数量(K個)推定稼働率
,6,E69,運転,RJ1A3,100,停止,RJ1A3,18,0.88695652173913,1.00711148379793,265DMFC000,2026/06/03 19:40:27,100,5151.14782608696,5159.9638364351
配合指示パタクト加重平均（分）,6,E70,運転,RZ8A1,120,停止,RZ8A1,31,0.903148059130253,0.983148059130253,265DRAI000,2026/06/03 18:40:59,120,289.829015544041,278.10333596689
143.511845764013,6,E71,運転,RU4A6,178,停止,RU4A6,32,0.98264214815971,0.98264214815971,265DLLU000,2026/06/03 17:57:32,178,289.829015544041,276.10333596689
実配台タクト加重平均（分）,6,E73,運転,RZ8A1,120,停止,RZ8A1,31,0.903148059130253,0.983148059130253,265DRAI000,2026/06/03 20:26:06,120,289.829015544041,278.10333596689
143.511845764013,6,E74,運転,RU4A6,178,停止,RU4A6,32,0.98264214815971,0.98264214815971,265DLLU000,2026/06/03 19:04:01,210,1138.23668148148,1119.05518422938
配合 G/NG,6,E75,運転,RJ2A7,210,停止,RJ2A7,21,0.903703703703704,0.983148059130253,265DDTH000,2026/06/03 17:29:12,210,1138.23668148148,1119.05518422938
,G,,,,,,,,,,,,,,
,指定稼働率,,,,,,,,,,,,,,
,0.888474542325118,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,エリア4,,※リスト選択↓※フリー入力↓,,,,,,,,,,,
,稼働台数,設備号機,指示,配合指示,予定加工時間,設備状態,能力枠,タイプ,設定稼働率,現状差異,加工ロットNo.,サイクル終了予定時刻,加工時間,day加工可能数量(K個),day生産数量(K個)推定稼働率
,5,E41,運転,空き,0,停止,空き,0,0,0,EMPTY000,2026/06/03 21:00:00,0,0,0
0,5,E44,運転,メディア作成,0,停止,メディア作成,0,0,0,MEDIA000,2026/06/03 21:10:00,0,0,0
0,5,E45,停止,HJ9JY,95,停止,HJ9JY,32,0.650000000000000,0.700000000000000,265STOP000,2026/06/03 21:20:00,95,760,0.712345679
0,5,E46,運転,メディア作成,0,停止,メディア作成,0,0,0,MEDIA001,2026/06/03 21:30:00,0,0,0
,配合 G/NG,,,,,,,,,,,,,,
,NG,,,,,,,,,,,,,,
